run_id,run_name,model,task,split,enable_sequences,run_no,train_set,val_set,test_sets,case_study/SetA/accuracy,case_study/SetA/component_evaluation/accuracy,case_study/SetA/component_evaluation/f1_score,case_study/SetA/component_evaluation/precision,case_study/SetA/component_evaluation/recall,case_study/SetA/event_evaluation/accuracy,case_study/SetA/event_evaluation/f1_score,case_study/SetA/event_evaluation/precision,case_study/SetA/event_evaluation/recall,case_study/SetA/f1_score,case_study/SetA/precision,case_study/SetA/recall,case_study/SetB/accuracy,case_study/SetB/component_evaluation/accuracy,case_study/SetB/component_evaluation/f1_score,case_study/SetB/component_evaluation/precision,case_study/SetB/component_evaluation/recall,case_study/SetB/event_evaluation/accuracy,case_study/SetB/event_evaluation/f1_score,case_study/SetB/event_evaluation/precision,case_study/SetB/event_evaluation/recall,case_study/SetB/f1_score,case_study/SetB/precision,case_study/SetB/recall,case_study/SetC/accuracy,case_study/SetC/component_evaluation/accuracy,case_study/SetC/component_evaluation/f1_score,case_study/SetC/component_evaluation/precision,case_study/SetC/component_evaluation/recall,case_study/SetC/event_evaluation/accuracy,case_study/SetC/event_evaluation/f1_score,case_study/SetC/event_evaluation/precision,case_study/SetC/event_evaluation/recall,case_study/SetC/f1_score,case_study/SetC/precision,case_study/SetC/recall,case_study/SetD/accuracy,case_study/SetD/component_evaluation/accuracy,case_study/SetD/component_evaluation/f1_score,case_study/SetD/component_evaluation/precision,case_study/SetD/component_evaluation/recall,case_study/SetD/event_evaluation/accuracy,case_study/SetD/event_evaluation/f1_score,case_study/SetD/event_evaluation/precision,case_study/SetD/event_evaluation/recall,case_study/SetD/f1_score,case_study/SetD/precision,case_study/SetD/recall,case_study/accuracy/SetA_accuracy,case_study/accuracy/SetB_accuracy,case_study/accuracy/SetC_accuracy,case_study/accuracy/SetD_accuracy
huec0eg8,mlp|seq|b|rsd|13,mlp,Binary,Random with same distribution,True,13,SetD,SetC,"SetA,SetB",,0.6548835414672514,0.4365362795773794,0.4824094647264086,0.4493054904557008,,,,,,,,,0.9616769230769232,0.8055393836318944,0.7505956644265226,0.8999800433416079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6548835414672514,0.9616769230769232,0.9420153846153846,0.9716859316789496
ocmvrl1e,mlp|seq|b|rsd|14,mlp,Binary,Random with same distribution,True,14,SetD,SetC,"SetA,SetB",,0.7295965689438966,0.4812613316668932,0.5021613597100817,0.5052542324242711,,,,,,,,,0.9693923076923076,0.8360484207095743,0.7843525620887273,0.9157961017576874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7295965689438966,0.9693923076923076,0.9444384615384616,0.9864323939149025
bmsj920t,mlp|seq|m|r|14,mlp,Multiclass,Random split,True,14,SetD,SetC,"SetA,SetB",,0.7508625870934711,0.43167338186534626,0.627295912558803,0.3969999833928768,,,,,,,,,0.9573384615384616,0.6414697048135483,0.8049449037319792,0.7161273359329202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7508625870934711,0.9573384615384616,0.9421076923076924,0.9585535219822
hv6cp6uc,mlp|seq|b|t|14,mlp,Binary,Time split,True,14,SetD,SetC,"SetA,SetB",,0.6324970876091682,0.4331807316143755,0.48608582647017584,0.4577913729390011,,,,,,,,,0.9545538461538462,0.7911141052184221,0.7277040754411309,0.9229634198830878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6324970876091682,0.9545538461538462,0.935,0.9880545724162986
2kl405r9,mlp|seq|m|rsd|14,mlp,Multiclass,Random with same distribution,True,14,SetD,SetC,"SetA,SetB",,0.6554697296856102,0.3124960825402179,0.33421861141067594,0.36386773776996223,,,,,,,,,0.8850384615384616,0.5769665144267558,0.5440212710905536,0.6737495953698147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6554697296856102,0.8850384615384616,0.8828153846153847,0.9582115675060608
34b89m5j,mlp|seq|m|t|14,mlp,Multiclass,Time split,True,14,SetD,SetC,"SetA,SetB",,0.6737157654950322,0.3869174989563575,0.4326355011511142,0.37526053975585855,,,,,,,,,0.9496923076923076,0.6145853900528667,0.6737877352695735,0.7127910448649762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6737157654950322,0.9496923076923076,0.9375538461538462,0.9585086037696188
dpun9r5i,mlp|seq|b|r|14,mlp,Binary,Random split,True,14,SetD,SetC,"SetA,SetB",,0.6760085776402586,0.4473764268261304,0.486229567140504,0.4619766283310706,,,,,,,,,0.9641615384615384,0.8142038096302803,0.7607821008806211,0.90220980891656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6760085776402586,0.9641615384615384,0.943053846153846,0.9706459424021132
3ftn5n0u,mlp|seq|b|rsd|15,mlp,Binary,Random with same distribution,True,15,SetD,SetC,"SetA,SetB",,0.6948927423962484,0.456745939680563,0.4894836720439816,0.47222748223324246,,,,,,,,,0.9717384615384616,0.8406462976721956,0.7981587232284388,0.8998788837283793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6948927423962484,0.9717384615384616,0.9537615384615384,0.9695697294608824
f4e30362,mlp|seq|b|r|15,mlp,Binary,Random split,True,15,SetD,SetC,"SetA,SetB",,0.6636541044305441,0.4405899504113444,0.4835781122785024,0.4535074553436176,,,,,,,,,0.9542307692307692,0.7818599039157035,0.7241107614789442,0.8942312745235426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6636541044305441,0.9542307692307692,0.9386769230769232,0.9717633490615698
d1wpgmyi,mlp|seq|b|t|15,mlp,Binary,Time split,True,15,SetD,SetC,"SetA,SetB",,0.6422322640963426,0.4347480398741469,0.48451493003364254,0.4540038327918908,,,,,,,,,0.9644769230769232,0.82193780866921,0.7622387701594462,0.9267235921484624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6422322640963426,0.9644769230769232,0.9356615384615384,0.9838595064171256
4d2n8x2g,mlp|seq|m|r|15,mlp,Multiclass,Random split,True,15,SetD,SetC,"SetA,SetB",,0.6755040105662281,0.3940415629990452,0.6414872183135795,0.3495415466313516,,,,,,,,,0.9723846153846154,0.6622383172403016,0.8297800201468853,0.7068209400442873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6755040105662281,0.9723846153846154,0.9593076923076924,0.9501532752115006
qgibfq6v,mlp|seq|m|rsd|15,mlp,Multiclass,Random with same distribution,True,15,SetD,SetC,"SetA,SetB",,0.6750736445324963,0.38373172755247315,0.46435293607816613,0.3643134509096843,,,,,,,,,0.9709307692307692,0.6547443242147013,0.6804754167196724,0.7113988031596677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6750736445324963,0.9709307692307692,0.9566076923076924,0.9540096468238828
gpndx52a,mlp|seq|m|t|15,mlp,Multiclass,Time split,True,15,SetD,SetC,"SetA,SetB",,0.6566198458102382,0.3127676872519824,0.33456134327221765,0.3603757356236183,,,,,,,,,0.966246153846154,0.655832414629451,0.6257254812789168,0.7300594572110183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6566198458102382,0.966246153846154,0.9466461538461538,0.959708173295526
lcfa0c0z,mlp|seq|b|r|16,mlp,Binary,Random split,True,16,SetD,SetC,"SetA,SetB",,0.6747100594350333,0.44659288715009593,0.4858864862851456,0.4609277916374514,,,,,,,,,0.9436461538461538,0.7540089223116474,0.6950599902069236,0.8906886861386931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6747100594350333,0.9436461538461538,0.9333384615384616,0.972215575739594
5ye1ywzi,mlp|seq|b|rsd|16,mlp,Binary,Random with same distribution,True,16,SetD,SetC,"SetA,SetB",,0.7229481557331434,0.47052831695168207,0.4944930796688702,0.4865538397888856,,,,,,,,,0.9562923076923076,0.7844477989105234,0.7299276037929379,0.8837850586563101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7229481557331434,0.9562923076923076,0.9400153846153846,0.9721522135236084
al7mdmg1,mlp|seq|b|t|16,mlp,Binary,Time split,True,16,SetD,SetC,"SetA,SetB",,0.9024553124234802,0.5036382300461032,0.5226165008996106,0.5075062236555447,,,,,,,,,0.9852846153846154,0.8909739130771094,0.94582728546972,0.848958812960442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9024553124234802,0.9852846153846154,0.9823923076923076,0.9158679056887016
